Section|Name|GeneratedAt
-------|----|-----------
DATABASE|KutuphaneDB|2026-05-21 21:02:16
Section|SchemaName|TableName|Row_Count
-------|----------|---------|---------
TABLE|dbo|Cezalar|26
TABLE|dbo|Kiralamalar|100
TABLE|dbo|KitapBasimlari|100
TABLE|dbo|KitapKopyalari|100
TABLE|dbo|Kitaplar|100
TABLE|dbo|KitapTurler|200
TABLE|dbo|KitapYazarlar|108
TABLE|dbo|Kullanicilar|100
TABLE|dbo|Kutuphaneler|10
TABLE|dbo|Personel|30
TABLE|dbo|Raflar|100
TABLE|dbo|Rezervasyonlar|30
TABLE|dbo|sysdiagrams|0
TABLE|dbo|Turler|100
TABLE|dbo|YayinEvleri|100
TABLE|dbo|Yazarlar|65
Section|SchemaName|TableName|ColumnId|ColumnName|DataType|MaxLength|IsNullable
-------|----------|---------|--------|----------|--------|---------|----------
COLUMN|dbo|Cezalar|1|CezaID|int|4|0
COLUMN|dbo|Cezalar|2|KiralamaID|int|4|0
COLUMN|dbo|Cezalar|3|CezaTuru|nvarchar|100|0
COLUMN|dbo|Cezalar|4|Tutar|decimal|9|0
COLUMN|dbo|Cezalar|5|OdendiMi|bit|1|0
COLUMN|dbo|Cezalar|6|OdemeTarihi|datetime|8|1
COLUMN|dbo|Kiralamalar|1|KiraID|int|4|0
COLUMN|dbo|Kiralamalar|2|KullaniciID|int|4|0
COLUMN|dbo|Kiralamalar|3|KopyaID|int|4|0
COLUMN|dbo|Kiralamalar|4|AlisTarihi|datetime|8|0
COLUMN|dbo|Kiralamalar|5|IadeTarihi|datetime|8|0
COLUMN|dbo|Kiralamalar|6|TeslimTarihi|datetime|8|1
COLUMN|dbo|Kiralamalar|7|Durum|nvarchar|40|0
COLUMN|dbo|Kiralamalar|8|PersonelID|int|4|0
COLUMN|dbo|KitapBasimlari|1|BasimID|int|4|0
COLUMN|dbo|KitapBasimlari|2|KitapID|int|4|0
COLUMN|dbo|KitapBasimlari|3|YayinEviID|int|4|0
COLUMN|dbo|KitapBasimlari|4|ISBN|nvarchar|40|0
COLUMN|dbo|KitapBasimlari|5|BasimYili|smallint|2|0
COLUMN|dbo|KitapBasimlari|6|BaskiNo|tinyint|1|0
COLUMN|dbo|KitapBasimlari|7|SayfaSayisi|smallint|2|0
COLUMN|dbo|KitapBasimlari|8|Dil|nvarchar|100|0
COLUMN|dbo|KitapBasimlari|9|KapakTipi|nvarchar|60|0
COLUMN|dbo|KitapKopyalari|1|KopyaID|int|4|0
COLUMN|dbo|KitapKopyalari|2|KitapID|int|4|0
COLUMN|dbo|KitapKopyalari|3|BasimID|int|4|0
COLUMN|dbo|KitapKopyalari|4|KutuphaneID|int|4|0
COLUMN|dbo|KitapKopyalari|5|RafID|int|4|0
COLUMN|dbo|KitapKopyalari|6|Durum|nvarchar|60|0
COLUMN|dbo|KitapKopyalari|7|Barkod|nvarchar|100|0
COLUMN|dbo|Kitaplar|1|KitapID|int|4|0
COLUMN|dbo|Kitaplar|2|KitapAdi|nvarchar|400|0
COLUMN|dbo|Kitaplar|3|OrijinalAd|nvarchar|400|1
COLUMN|dbo|Kitaplar|4|YayinEviID|int|4|1
COLUMN|dbo|Kitaplar|5|IlkYayinYili|smallint|2|1
COLUMN|dbo|Kitaplar|6|Dil|nvarchar|100|0
COLUMN|dbo|Kitaplar|7|Ozet|nvarchar|1000|1
COLUMN|dbo|KitapTurler|1|KitapID|int|4|0
COLUMN|dbo|KitapTurler|2|TurID|int|4|0
COLUMN|dbo|KitapYazarlar|1|KitapID|int|4|0
COLUMN|dbo|KitapYazarlar|2|YazarID|int|4|0
